micro_cluster_id	main_field_seq	main_field_id	weight	is_primary_main_field
875	1	2	0.5	True
875	2	4	0.5	False
876	1	5	1	True
877	1	2	1	True
878	1	2	1	True
879	1	5	1	True
880	1	1	1	True
881	1	2	1	True
882	1	2	1	True
883	1	1	0.5	True
883	2	5	0.5	False
884	1	5	1	True
885	1	5	0.5	True
885	2	2	0.5	False
886	1	3	1	True
887	1	2	0.5	True
887	2	5	0.5	False
888	1	5	0.5	True
888	2	1	0.5	False
889	1	4	1	True
890	1	2	1	True
891	1	5	1	True
892	1	3	1	True
893	1	1	1	True
894	1	3	0.5	True
894	2	4	0.5	False
895	1	4	1	True
896	1	5	1	True
897	1	2	1	True
898	1	1	1	True
899	1	5	1	True
900	1	4	0.5	True
900	2	2	0.5	False
901	1	5	1	True
902	1	2	1	True
903	1	3	1	True
904	1	5	1	True
905	1	3	1	True
906	1	5	1	True
907	1	1	1	True
908	1	3	1	True
909	1	4	0.5	True
909	2	3	0.5	False
910	1	1	1	True
911	1	3	1	True
912	1	2	0.5	True
912	2	1	0.5	False
913	1	3	1	True
914	1	5	1	True
915	1	2	1	True
916	1	2	0.5	True
916	2	5	0.5	False
917	1	5	1	True
918	1	1	1	True
919	1	2	1	True
920	1	3	0.5	True
920	2	2	0.5	False
921	1	3	1	True
922	1	3	1	True
923	1	3	1	True
924	1	2	1	True
925	1	2	1	True
926	1	2	1	True
927	1	5	1	True
928	1	5	0.5	True
928	2	3	0.5	False
929	1	2	1	True
930	1	4	1	True
931	1	5	1	True
932	1	2	1	True
933	1	5	1	True
934	1	2	1	True
935	1	2	1	True
936	1	5	1	True
937	1	2	1	True
938	1	3	1	True
939	1	3	1	True
940	1	5	0.5	True
940	2	3	0.5	False
941	1	1	1	True
942	1	1	1	True
943	1	2	1	True
944	1	3	1	True
945	1	2	1	True
946	1	4	0.5	True
946	2	3	0.5	False
947	1	3	1	True
948	1	5	1	True
949	1	2	1	True
950	1	2	1	True
951	1	5	1	True
952	1	2	1	True
953	1	1	1	True
954	1	2	1	True
955	1	4	1	True
956	1	3	1	True
957	1	2	0.5	True
957	2	3	0.5	False
958	1	2	0.5	True
958	2	3	0.5	False
959	1	1	1	True
960	1	2	1	True
961	1	2	1	True
962	1	3	1	True
963	1	5	1	True
964	1	5	1	True
965	1	4	1	True
